Task,Model,R2,RMSE,MAE
Nowcast,LGB (tuned+ES),0.9784706097842697,5.742105518291783,1.7121084702515692
Nowcast,XGB (tuned+ES),0.9742787096052972,6.276270900003594,1.6775019806546634
