Task,Model,R2,RMSE,MAE
Forecast,XGB (tuned+ES),0.5648539823953371,21.77826367193609,11.028766134299948
Forecast,LGB (tuned+ES),0.5395455172814358,22.402634716607576,11.065367611207687
